Text,Context
"Excelente apartamento residencial, localizado em bairro nobre, contendo ampla sala em 02 (dois) ambientes (sendo sala de estar e sala de jantar), sacada, lavabo, hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento, todos com armário embutido e sacada), ampla cozinha planejada, área de serviço aberta, com dependência para funcionária (dormitório e banheiro) e garagem para 02 (dois) carros.

Proximidade

Frente para o Tênis clube
Ao lado colégio Cotiguara
Banco do Brasil
Prudenshopping
Supermercados Nagai
Parque do Povo


Observações 
 

Portaria 24h
Ótimo estado de Uso e conservação
Salão de festas com churrasqueira
Ambientes amplos
Sacada em todos os ambientes",imovel
"ÓTIMA CASA EM CONDOMÍNIO - AT189 m² - AC138m²
Residência Térrea contendo (02) duas vagas de garagem cobertas, ótima sala de jantar e visitas com (acabamento em gesso, ventilador de teto), lavabo, banheiro social completo, cozinha com móveis planejados, área de serviço, (03) três dormitórios sendo (01) uma suíte com ar condicionado e banheiro planejado, (01) um dormitório com ar, e (01) um dormitório com a possibilidade de utilizar como sala de TV com ventilador de teto, ampla e agradável área Gourmet com (churrasqueira, balcão com planejados, forno e fogão a lenha), e despensa.",imovel
"Amplo apartamento reformado, localizado no centro, contendo sala de estar com sacada, sala de jantar, hall de circulação com banheiro social, 03 (três) dormitórios (sendo um apartamento e dois com armário embutido (um com sacada)), cozinha planejada com cooktop, área de serviço e banheiro para funcionária.",imovel
"Salão comercial, localizado em um complexo de alto fluxo, com aproximadamente 750 (setecentos e cinquenta) metros quadrados. O imóvel pode ser desmembrado e podemos entregar pronto, de acordo com a preferência do cliente (banheiros, piso, gesso)ProximidadeRestaurante DachôCNAAcademia Fit BemItespChurrascaria TchêMeet´zObservações  Salão com 750 m2Pode ser desmembradoPodemos terminar a obra de acordo com a necessidade do cliente (banheiro, piso, gesso)",imovel
"APARTAMENTO RESIDENCIAL.

Contendo sala de visita com Rack, dois (02) dormitorio com armários embutidos sendo (01) uma suite, ventilador de Teto, banheiro social, cozinha planejada, aréa de servico, uma vaga de garagem coberta.",imovel
"Imóvel comercial com aproximadamente metros quadrados, de área construída atual, servido por vários ambientes. Aluguel no valor de R$ 5.000,00 + encargos, para receber da forma que está. 
Este imóvel poderá ser reformado ou demolido e construído novamente, de acordo com a necessidade do cliente. Valores de aluguel serão revisados, de acordo com o investimento a ser realizado.",imovel
"Excelente imóvel residencial, localizado num dos bairros mais nobres da cidade, próximo ao Tênis Clube, contendo no piso inferior garagem para 02 (dois) carros com portão eletrônico, sala de estar com painel embutido, sala de jantar, lavabo e cozinha planejada. Piso superior servido por 03 (três) dormitórios (sendo uma suíte com closet , todos com armário embutido), banheiro social. Espaço gourmet com churrasqueira, banheiro, área de serviço e quarto para despejo.
 

Excelente acabamento;
Pintura nova;
Armário embutido novo em dois dormitórios;
Espaço gourmet com churrasqueira;
Cerca elétrica;
Portão eletrônico;",imovel
"TERRENO RESIDENCIAL.

Excelente topografia,
10 mts de frente, por 21 mts de profundidade,
Área total de 210 metros quadrados, face sombra.",imovel
"TERRENO RESIDENCIAL E COMERCIAL - AT 726m²
Terreno de fácil acesso e localização, com excelente topografia, próximo do Tênis Clube, distante 50 metros da avenida Washington Luiz, possuindo 22,00 metros de frente e 33,00 metros aos fundos, totalizando uma área de 726,00m².  Ideal para consultórios e clinicas médicas, escritórios, e comércios diversos.",imovel
"Belíssimo apartamento, de alto padrão, totalmente reformado, com fino acabamento, contendo hall de entrada, ampla sala em 03 (três) ambientes (sendo sala de estar, sala de jantar e sala de TV) com ar-condicionado e sacada, lavabo, hall privativo com escritório (podendo ser uma sala de TV privativa ou quarto dormitório) com ar-condicionado, roupeiro com bancada para office, 03 (três) amplas suítes (sendo todas com armário embutido e ar-condicionado e uma com sacada), cozinha planejada com sala de almoço, servida por cooktop, coifa, forno, microondas e geladeira duplex, despensa, área de serviço com móvel embutido, dependência para funcionária (dormitório e banheiro) e garagem para 03 (três) carros.",imovel
"CONDOMÍNIO DAMHA I - AT 360m² - AC 321,14m² 
Ótimo imóvel residencial estilo sobrado, contendo no piso inferior, jardim, garagem para 02 (dois) carros, hall de entrada, ampla sala em 02 (dois) ambientes (sala de visitas e sala de jantar) com divisória em porta de madeira modelo balcão, ampla sala de TV, escritório com móveis planejados, lavabo, cozinha planejada com despensa, dependência para empregada (dormitório e banheiro), cômodo despejo. Piso superior  contendo 04 (quatro) suites sendo ((01) uma suíte máster com closet, hidro e  ar-condicionado), 03 (três) suítes todas com (armários embutidos, móveis planejados, ar-condicionado, ventiladore de teto, banheiros com box em blindex, aquecimentos d'água elétrico e, solar). Aconchegante espaço gourmet contemplada com varanda servida por (churrasqueira, pia e balcão), banheiro completo externo, piscina com cascata e quintal com paisagismo.",imovel
"Residência contendo ampla sala, jardim de inverno, lavabo, cozinha, copa, 4 dormitórios (sendo 1 suíte), amplo quintal com piscina, churrasqueira, 2 quartos externos e banheiro, vagas garagem (frente e fundo).",imovel
"Terreno localizado no condomínio Portal do Lago, medindo 982,62 m², quadra 31 do lote 09, com excelente topografia plana e esquina. Aqui vc encontrará conforto, segurança e laser, sem contar que terá o privilégio de morar menos de uma quadra da portaria e com um pôr do sol incrível.",imovel
"Terreno comercial, localizado em rua de alto fluxo, frente à churrascaria Tchê, contendo aproximadamente 328 (trezentos e vinte e oito)m2 de terreno.ProximidadeColégio Anglo;Colégio Multiplus;Churrascaria Tchê;CNA;Dachô;Observações  Ideal para estacionamento e lava jato;",imovel
"Imóvel comercial, localizado em avenida de alto fluxo no centro da cidade, ideal para profissionais autônomos, servido por um salão, cozinha e nos fundos 02 (dois) banheiros. No piso inferior, possui um espaço para depósito.",imovel
"Terreno em condomínio fechado

Área 252,00 m² (12,00 x 21,00 m)
Topografia plana
Próximo a portaria",imovel
"APARTAMENTO RESIDENCIAL (COND. PRINCIPE IMPERIAL). 
Apartamento residencial com piso em laminado, contendo sala de estar (ar condicionado, painel de tv, cortina, espelho de parede), hall de circulação com banheiro social (porcelanato, box em blidex, pia em porcelanato com gabinete e espelho), 02 (dois) dormitórios (sendo 01(um) com aparelho de ar-condicionado, ventilador de teto, armário planejado, painel tv, cabeceira de cama, papel de parede e cortina), cozinha estilo americana com porcelanato, gabinetes e armários na parede, área de serviço com armários e perciana, vaga para 01 (um) carro coberta.",imovel
